product_id;price;sales_count;rating;discount_percent;revenue;cluster;segment;price_formatted;revenue_formatted;sales_formatted
PROD_0001;131036.66666666667;1955;3.517777777777778;3.611111111111111;246485700.0;1;Premium;Rp 131.037;Rp 246.485.700;1.955
PROD_0002;35812.22222222222;1917;3.488888888888889;3.388888888888889;66661800.0;1;Premium;Rp 35.812;Rp 66.661.800;1.917
PROD_0003;37330.0;1982;3.4622222222222225;2.9444444444444446;72169900.0;0;Standard;Rp 37.330;Rp 72.169.900;1.982
PROD_0004;40997.77777777778;1984;3.5188888888888887;3.388888888888889;79203100.0;4;Low Performers;Rp 40.998;Rp 79.203.100;1.984
PROD_0005;40625.555555555555;1878;3.51;3.1666666666666665;74059300.0;1;Premium;Rp 40.626;Rp 74.059.300;1.878
PROD_0006;80296.66666666667;1926;3.3944444444444444;3.5555555555555554;150232400.0;1;Premium;Rp 80.297;Rp 150.232.400;1.926
PROD_0007;108606.66666666667;2041;3.5344444444444445;2.7222222222222223;216218100.0;0;Standard;Rp 108.607;Rp 216.218.100;2.041
PROD_0008;101714.44444444444;1930;3.5377777777777775;2.388888888888889;191534500.0;2;Budget;Rp 101.714;Rp 191.534.500;1.930
PROD_0009;97731.11111111111;2027;3.52;3.8333333333333335;190430800.0;4;Low Performers;Rp 97.731;Rp 190.430.800;2.027
PROD_0010;134392.22222222222;1922;3.5355555555555553;2.9444444444444446;251484900.0;1;Premium;Rp 134.392;Rp 251.484.900;1.922
PROD_0011;148857.77777777778;2022;3.4922222222222223;4.5;288976100.0;4;Low Performers;Rp 148.858;Rp 288.976.100;2.022
PROD_0012;80776.66666666667;2039;3.5344444444444445;3.7222222222222223;159015000.0;4;Low Performers;Rp 80.777;Rp 159.015.000;2.039
PROD_0013;475307.77777777775;1954;3.46;2.111111111111111;914388400.0;3;Best Sellers;Rp 475.308;Rp 914.388.400;1.954
PROD_0014;180540.0;1980;3.5077777777777777;2.5;349578700.0;0;Standard;Rp 180.540;Rp 349.578.700;1.980
PROD_0015;187596.66666666666;1942;3.51;3.2777777777777777;353531700.0;1;Premium;Rp 187.597;Rp 353.531.700;1.942
PROD_0016;273532.22222222225;1907;3.4722222222222223;3.388888888888889;507303100.0;1;Premium;Rp 273.532;Rp 507.303.100;1.907
PROD_0017;79346.66666666667;1976;3.522222222222222;2.611111111111111;153547800.0;0;Standard;Rp 79.347;Rp 153.547.800;1.976
PROD_0018;124384.44444444444;1882;3.5266666666666664;3.0;228212800.0;1;Premium;Rp 124.384;Rp 228.212.800;1.882
PROD_0019;64807.77777777778;1937;3.4766666666666666;2.9444444444444446;121926100.0;1;Premium;Rp 64.808;Rp 121.926.100;1.937
PROD_0020;118612.22222222222;1898;3.488888888888889;3.3333333333333335;219498900.0;1;Premium;Rp 118.612;Rp 219.498.900;1.898
PROD_0021;32518.88888888889;1957;3.511111111111111;2.9444444444444446;62029200.0;0;Standard;Rp 32.519;Rp 62.029.200;1.957
PROD_0022;22467.777777777777;1993;3.4377777777777774;2.7222222222222223;43864300.0;0;Standard;Rp 22.468;Rp 43.864.300;1.993
PROD_0023;102203.33333333333;1965;3.5277777777777777;2.388888888888889;196519100.0;2;Budget;Rp 102.203;Rp 196.519.100;1.965
PROD_0024;32554.444444444445;1895;3.5033333333333334;2.0;60717400.0;2;Budget;Rp 32.554;Rp 60.717.400;1.895
PROD_0025;82468.88888888889;1944;3.6244444444444444;2.7777777777777777;156446900.0;2;Budget;Rp 82.469;Rp 156.446.900;1.944
PROD_0026;31367.777777777777;1937;3.5033333333333334;2.388888888888889;59548700.0;2;Budget;Rp 31.368;Rp 59.548.700;1.937
PROD_0027;91731.11111111111;1971;3.552222222222222;3.7222222222222223;174534500.0;4;Low Performers;Rp 91.731;Rp 174.534.500;1.971
PROD_0028;69032.22222222222;1932;3.5477777777777777;1.9444444444444444;131414000.0;2;Budget;Rp 69.032;Rp 131.414.000;1.932
PROD_0029;472671.1111111111;1927;3.6;3.3333333333333335;881906700.0;3;Best Sellers;Rp 472.671;Rp 881.906.700;1.927
PROD_0030;233361.11111111112;1928;3.4644444444444447;2.6666666666666665;439199700.0;1;Premium;Rp 233.361;Rp 439.199.700;1.928
PROD_0031;521466.6666666667;1902;3.5944444444444446;2.5555555555555554;970460600.0;3;Best Sellers;Rp 521.467;Rp 970.460.600;1.902
PROD_0032;201112.22222222222;1996;3.4733333333333336;2.5555555555555554;392718200.0;0;Standard;Rp 201.112;Rp 392.718.200;1.996
